Test started at: 26-02-2024 09:10:51 - Finished at 26-02-2024 09:29:07
Results for simulation time 1000.0 s:
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=6, nodes=200) Results(duration=1432, steps=400001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=7, nodes=200) Results(duration=1697, steps=400001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=8, nodes=200) Results(duration=1679, steps=400001)
SimulationType(incarnation=protelis, testType=neighborCounter, cycle=9, nodes=200) Results(duration=1410, steps=400001)
SimulationType(incarnation=scafi, testType=branching, cycle=0, nodes=200) Results(duration=4369, steps=400001)
SimulationType(incarnation=scafi, testType=branching, cycle=1, nodes=200) Results(duration=5137, steps=400001)
SimulationType(incarnation=scafi, testType=branching, cycle=2, nodes=200) Results(duration=4487, steps=400001)
SimulationType(incarnation=scafi, testType=branching, cycle=3, nodes=200) Results(duration=4351, steps=400001)
SimulationType(incarnation=scafi, testType=branching, cycle=4, nodes=200) Results(duration=5116, steps=400001)
SimulationType(incarnation=scafi, testType=branching, cycle=5, nodes=200) Results(duration=5115, steps=400001)
SimulationType(incarnation=scafi, testType=branching, cycle=6, nodes=200) Results(duration=4495, steps=400001)
SimulationType(incarnation=scafi, testType=branching, cycle=7, nodes=200) Results(duration=5092, steps=400001)
SimulationType(incarnation=scafi, testType=branching, cycle=8, nodes=200) Results(duration=5175, steps=400001)
SimulationType(incarnation=scafi, testType=branching, cycle=9, nodes=200) Results(duration=5195, steps=400001)
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=0, nodes=843) Results(duration=18206, steps=1686001)
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=1, nodes=843) Results(duration=18178, steps=1686001)
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=2, nodes=843) Results(duration=18084, steps=1686001)
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=3, nodes=843) Results(duration=18160, steps=1686001)
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=4, nodes=843) Results(duration=18013, steps=1686001)
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=5, nodes=843) Results(duration=18076, steps=1686001)
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=6, nodes=843) Results(duration=18769, steps=1686001)
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=7, nodes=843) Results(duration=20793, steps=1686001)
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=8, nodes=843) Results(duration=20953, steps=1686001)
SimulationType(incarnation=scafi, testType=channelWithObstacles, cycle=9, nodes=843) Results(duration=21218, steps=1686001)
SimulationType(incarnation=scafi, testType=fieldEvolution, cycle=0, nodes=200) Results(duration=2644, steps=400001)
SimulationType(incarnation=scafi, testType=fieldEvolution, cycle=1, nodes=200) Results(duration=2640, steps=400001)
SimulationType(incarnation=scafi, testType=fieldEvolution, cycle=2, nodes=200) Results(duration=2662, steps=400001)
SimulationType(incarnation=scafi, testType=fieldEvolution, cycle=3, nodes=200) Results(duration=2631, steps=400001)
SimulationType(incarnation=scafi, testType=fieldEvolution, cycle=4, nodes=200) Results(duration=2636, steps=400001)
SimulationType(incarnation=scafi, testType=fieldEvolution, cycle=5, nodes=200) Results(duration=2622, steps=400001)
SimulationType(incarnation=scafi, testType=fieldEvolution, cycle=6, nodes=200) Results(duration=2657, steps=400001)
SimulationType(incarnation=scafi, testType=fieldEvolution, cycle=7, nodes=200) Results(duration=2640, steps=400001)
SimulationType(incarnation=scafi, testType=fieldEvolution, cycle=8, nodes=200) Results(duration=3080, steps=400001)
SimulationType(incarnation=scafi, testType=fieldEvolution, cycle=9, nodes=200) Results(duration=2956, steps=400001)
SimulationType(incarnation=scafi, testType=gradient, cycle=0, nodes=200) Results(duration=6045, steps=400001)
SimulationType(incarnation=scafi, testType=gradient, cycle=1, nodes=200) Results(duration=6334, steps=400001)
SimulationType(incarnation=scafi, testType=gradient, cycle=2, nodes=200) Results(duration=6140, steps=400001)
SimulationType(incarnation=scafi, testType=gradient, cycle=3, nodes=200) Results(duration=6199, steps=400001)
SimulationType(incarnation=scafi, testType=gradient, cycle=4, nodes=200) Results(duration=6103, steps=400001)
SimulationType(incarnation=scafi, testType=gradient, cycle=5, nodes=200) Results(duration=6097, steps=400001)
SimulationType(incarnation=scafi, testType=gradient, cycle=6, nodes=200) Results(duration=6176, steps=400001)
SimulationType(incarnation=scafi, testType=gradient, cycle=7, nodes=200) Results(duration=7161, steps=400001)
SimulationType(incarnation=scafi, testType=gradient, cycle=8, nodes=200) Results(duration=6788, steps=400001)
SimulationType(incarnation=scafi, testType=gradient, cycle=9, nodes=200) Results(duration=7148, steps=400001)
SimulationType(incarnation=scafi, testType=neighborCounter, cycle=0, nodes=200) Results(duration=4451, steps=400001)
SimulationType(incarnation=scafi, testType=neighborCounter, cycle=1, nodes=200) Results(duration=4489, steps=400001)
SimulationType(incarnation=scafi, testType=neighborCounter, cycle=2, nodes=200) Results(duration=4521, steps=400001)
SimulationType(incarnation=scafi, testType=neighborCounter, cycle=3, nodes=200) Results(duration=4487, steps=400001)
SimulationType(incarnation=scafi, testType=neighborCounter, cycle=4, nodes=200) Results(duration=4516, steps=400001)
SimulationType(incarnation=scafi, testType=neighborCounter, cycle=5, nodes=200) Results(duration=4471, steps=400001)
SimulationType(incarnation=scafi, testType=neighborCounter, cycle=6, nodes=200) Results(duration=4511, steps=400001)
SimulationType(incarnation=scafi, testType=neighborCounter, cycle=7, nodes=200) Results(duration=4974, steps=400001)
SimulationType(incarnation=scafi, testType=neighborCounter, cycle=8, nodes=200) Results(duration=5269, steps=400001)
